ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,50_50,bad_behaviour_card,ball_recovery_offensive,block_deflection,injury_stoppage_in_chain,pass_no_touch,block_offensive,clearance_other,pass_miscommunication,shot_open_goal,shot_redirect,dribble_no_touch,pass_goal_assist,pass_straight,shot_deflected,goalkeeper_lost_out,goalkeeper_shot_saved_off_target,shot_saved_off_target,block_save_block,goalkeeper_shot_saved_to_post,goalkeeper_success_in_play,shot_saved_to_post,x,y,end_x,end_y,time_seconds,x_norm,y_norm,end_x_norm,end_y_norm,player_id_code,receiver_id_code,match_id_ev,event_idx,dangerous_label
,,,,,,,,-0.12812092121528468,,,,,,1.090672,,,,,,,,,,,,,,,,714d8651-8de3-40df-bcc7-f8e18e83816f,415,,"[120.0, 80.0]",3753982,11,,True,,,-2.246294203472389,,0.8468897111248405,,,,"[109.0, 78.3]",-1.349862336404237,,-0.7312810702959056,,,Riyad Mahrez,3814.0,,,,,-2.060545807381912,1,-1.664832396863716,Danny Simpson,3270.0,Right Back,25,Leicester City,22,['5cf148c8-33e1-4c22-b631-932029bc598a'],28,,,,,,,,,,,,,,,,,Leicester City,22,00:11:28.476,Pass,-0.2859388156394794,,,,,,,,,,,,,,,,,,,,,,,120.0,80.0,109.0,78.3,-1.2680995540049955,2.1864944774274164,1.7524746976902845,1.4404758568069593,1.6632572867641648,5,18,3753982,415,0
,,,,,,,,-0.12812092121528468,,,,,,1.252259,,,,,,,,,,,,,,,,a13248cc-318b-4008-aa5f-e0ee7598e7a4,432,,"[120.0, 0.1]",3753982,12,,,,,1.3863468989702017,,-0.5673338841515921,,,,"[112.7, 39.3]",0.07114201364932234,,0.49338121986250405,Incomplete,True,,,,,Outswinging,,-2.060545807381912,1,-1.664832396863716,Christian Fuchs,3812.0,Left Back,27,Leicester City,22,['c6904b4a-7cc4-4af2-9ee8-a47f099e7e96'],22,,,,,,,,,,,,,,,,,Leicester City,22,00:12:22.449,Pass,-0.2859388156394794,,,,,,,,,,,,,,,,,,,,,,,120.0,0.1,112.7,39.3,-1.235110789656761,2.1864944774274164,-1.8402290721760202,1.5717154599203829,-0.09012621204367072,2,23,3753982,432,0
,,,,,,,,-0.12812092121528468,,,,,,2.13169,,,,,,,,,,,,,,,,e1e15c8d-ee75-4fac-8659-c68a755353c8,463,,"[41.0, 74.2]",3753982,13,,,,,0.17884631392947078,,-1.5101496143358806,,,,"[52.1, 76.2]",0.07114201364932234,,-0.7249687596107928,Incomplete,,Danny Drinkwater,3662.0,,,,,-0.39184326496642696,1,1.192924121642107,Danny Simpson,3270.0,Right Back,29,Southampton,25,"['1e4f0c08-1a3c-413a-ab7b-cb8bb3a65b15', '835a6e40-7e89-46cf-b27b-d330c1adb30f', '8c561652-0c5c-49eb-8589-0d1e648a8e53']",10,,,,,,,,,,,,,,,,,Leicester City,22,00:13:10.396,Pass,-0.2859388156394794,,,,,,,,,,,,,,,,,,,,,,,41.0,74.2,52.1,76.2,-1.2057874435694416,-0.33033784374382263,1.4916776781004901,-0.5777764180994702,1.5688443291360508,5,4,3753982,463,0
,,,,,,,,-0.12812092121528468,,,,,,2.342837,,,,,,,,,,,,,,,,b0cd6b6e-38e1-451a-8b87-4123706ef30b,470,,"[35.0, 74.6]",3753982,13,,,,,-0.17488380737675388,,-1.5101496143358806,,,,"[54.9, 68.8]",0.07114201364932234,,-0.3223658459266605,Incomplete,,Shinji Okazaki,3810.0,,,,,0.7206250966438964,1,1.192924121642107,Wes Morgan,3813.0,Right Center Back,29,Southampton,25,"['05d868fd-d898-4769-a337-ae02a1ad3dd3', '2006d6b5-6d69-41d1-bfed-265cb8684e1c', '50a3301d-58c7-469b-949b-834a08522759', '87767597-34c6-4064-816a-c3e4dbea4793']",14,,,,,,,,,,,,,,,,,Leicester City,22,00:13:14.807,Pass,3.4972516682059407,,,,,,,,,,,,,,,,,,,,,,,35.0,74.6,54.9,68.8,-1.2033438313954983,-0.5214896656049294,1.5096636794515101,-0.47845996168931226,1.2361510498750767,21,20,3753982,470,0
,,,,,,,,-0.12812092121528468,,,,,,3.280004,,,,,,,,,,,,,,,,bc4e8a6e-7386-40c0-bf5c-6b30ca2b4a62,626,,"[42.8, 60.3]",3753982,16,,,,,0.23827905523682572,,0.8468897111248405,,,,"[90.2, 72.7]",0.07114201364932234,,0.8820055235045188,,,Riyad Mahrez,3814.0,,,,,0.7206250966438964,1,0.4784849920156512,Danny Simpson,3270.0,Right Back,36,Leicester City,22,"['42e6726c-0564-4e34-86ab-56510680987b', 'f0f80cba-ad90-4eb8-875c-013f59aac1c4']",52,,,,,,,,,,,,,,,,,Leicester City,22,00:16:52.838,Pass,-0.2859388156394794,,,,,,,,,,,,,,,,,,,,,,,42.8,60.3,90.2,72.7,-1.070166967915589,-0.27299229718549073,0.8666641311525346,0.7736367923387543,1.4114893997558604,5,18,3753982,626,0
,,,,,,,,-0.12812092121528468,,,,,,4.148836,,,,,,,,,,,,,,,,8c7df76f-7d20-44f4-8948-df7b1a580add,632,,"[120.0, 80.0]",3753982,17,,True,,,-1.1973561796250192,,-0.5673338841515921,,,,"[117.5, 27.8]",0.07114201364932234,True,1.0211052868996437,Incomplete,,,,,True,Inswinging,,-2.060545807381912,1,-1.664832396863716,Danny Simpson,3270.0,Right Back,37,Leicester City,22,['a8b400d6-a7f5-4946-a838-f67b7a4a44c8'],11,,,,,,,,,,,,,,,,,Leicester City,22,00:17:11.598,Pass,-0.2859388156394794,,,,,,,,,,,,,,,,,,,,,,,120.0,80.0,117.5,27.8,-1.0585598100893583,2.1864944774274164,1.7524746976902845,1.7419722423377966,-0.6071495514357245,5,23,3753982,632,0
,,,,,,,,-0.12812092121528468,,,,,,2.145472,,,,,,,,,,,,,,,,3b84aa01-c553-4ed6-91ea-cf7256383ac9,636,,"[82.0, 25.7]",3753982,17,,,,,0.18841053780869757,,-1.5101496143358806,,,,"[96.5, 28.5]",0.07114201364932234,,-0.5763080401438453,Incomplete,,,,,,,,0.7206250966438964,1,-1.664832396863716,Robert Huth,40123.0,Left Center Back,37,Leicester City,22,"['95ba43fe-7db8-463d-a581-06c2868701cb', 'd6fecadf-864d-48d6-993b-6bd758dc8753']",20,,,,,,,,,,,,,,,,,Leicester City,22,00:17:20.692,Pass,-0.2859388156394794,,,,,,,,,,,,,,,,,,,,,,,82.0,25.7,96.5,28.5,-1.053061682697986,0.9758662723070736,-0.689124985710721,0.9970988192616101,-0.5756785655596866,19,23,3753982,636,0
,,,,,,,,-0.12812092121528468,,,,,,4.229309,,,,,,,,,,,,,,,,7941bbb2-cd18-428f-b8fb-da99d83cc0a4,639,,"[73.9, 37.8]",3753982,17,,,,,2.3331357088260485,,-0.5673338841515921,,,,"[36.3, 43.5]",1.492146363702882,,0.41480006926286733,,,Kasper Schmeichel,3815.0,,,,,-0.39184326496642696,1,-1.664832396863716,Danny Drinkwater,3662.0,Right Defensive Midfield,37,Leicester City,22,"['95ba43fe-7db8-463d-a581-06c2868701cb', 'c76e1a00-aef7-4072-9a5b-d0cf6e1ed9f4']",24,,,,,,,,,,,,,,,,,Leicester City,22,00:17:24.688,Pass,-0.2859388156394794,,,,,,,,,,,,,,,,,,,,,,,73.9,37.8,36.3,43.5,-1.0506180705240427,0.7178113127945794,-0.14504844484235702,-1.1382049935567917,0.09869970321255768,4,12,3753982,639,0
,,,,,,,,-0.12812092121528468,,,,,,2.493303,,,,,,,,,,,,,,,,d42544ad-a065-4824-90a9-6384bba1c774,655,,"[31.1, 13.8]",3753982,18,,,,,-0.4015521223714288,,-1.5101496143358806,,,,"[42.1, 6.6]",0.07114201364932234,,-0.6453740310134182,,,N''Golo Kanté,3961.0,,,,,0.7206250966438964,1,1.192924121642107,Robert Huth,40123.0,Left Center Back,40,Leicester City,22,"['87bccaa5-3d10-4016-b93e-c927819b7be9', 'c2528919-de2b-49b4-870d-02bb7fc0c4cc']",1,,,,,,,,,,,,,,,,,Leicester City,22,00:18:01.664,Pass,-0.2859388156394794,,,,,,,,,,,,,,,,,,,,,,,31.1,13.8,42.1,6.6,-1.028014657915067,-0.6457383498146488,-1.2242085259035749,-0.9324780481357497,-1.5602708379671633,19,15,3753982,655,0
,,,,,,,,-0.12812092121528468,,,,,,0.08,,,,,,,,,,,,,,,,0948cdd1-70e5-437f-9c15-e19730a8dc85,711,,"[56.0, 65.7]",3753982,19,,,,,0.35241051043098826,,0.8468897111248405,,,,"[58.1, 66.6]",-1.349862336404237,,-1.1081749093585846,Incomplete,,Shinji Okazaki,3810.0,,,,,0.7206250966438964,1,0.4784849920156512,Danny Drinkwater,3662.0,Right Defensive Midfield,43,Leicester City,22,"['2ecd439e-6d20-42ca-bc5f-8f7f9e016fd2', '570a600f-d411-49dc-8f1b-c3b83f725444', 'b0240752-d637-480a-bc27-829b7dd3c76e']",3,,,,,,,,,,,,,,,,,Leicester City,22,00:19:03.261,Pass,3.4972516682059407,,,,,,,,,,,,,,,,,,,,,,,56.0,65.7,58.1,66.6,-0.9901386692189461,0.14754171090894427,1.109475149391309,-0.36495544007770264,1.1372422371218138,4,20,3753982,711,0
